Ministério,Categoria 01,title/pt-BR,body/pt-BR
Justiça e Segurança Pública,Voto impresso,Voto impresso na urna eletronica,"Sugiro que a urna eletrônica imprima o voto do cidadão e essa cédula seja depositada em uma urna física, para assim haver mais uma possibilidade de um meio físico de auditoria, tornando o processo mais transparente para a população"
Direitos Humanos e Cidadania,Eliminação das cotas raciais,Encerrar as cotas raciais,"Eliminar as cotas raciais de concursos públicos, universidades públicas e privadas e em todo o lugar. As cotas geram mais  segmentação da sociedade e não são inclusivas como prometem."
Justiça e Segurança Pública,Cultura contra a corrupção,Brasil sem corrupção,"Endurecer requisitos de elegibilidade para cargos públicos eletivos, convidados e concursados. Intensificar ações de auditoria e controladoria. Aumentar a punição para desincentivar ações ilegais. Reaver valores desviados em dobro. Massificar ações de uma cultura contra a corrupção."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Acesso à água e saneamento básico,"Água e saneamento básico,de forma justa e saudável para a periferia ","A água é um bem precioso,para a humanidade, para a saúde, educação,tudo se move a través da água, só que a população principalmente das periferias, não está conseguindo ter água em suas casas.  Hoje no país é cobrado por taxas, a taxa de água custa aqui em Maceió 61.46 centavos, por 10 metros cúbicos, de 0 a 10 metros
Proposta: acaba com a cobrança por taxas,mas o consumidor paga pelo o que foi consumido,, se foi consumido 1 m  pagarei 1 m hoje se for consumido 1 m vou pagar 10 m, prejuízo de 9"
Direitos Humanos e Cidadania,Empregabilidade LGBTQIA+,Ações de implementação e fortalecimento da política LGBTQIA+,"Propostas para o PPA Participativo
 promoção da empregabilidade, educação e geração de renda;
enfrentamento a violência contra as pessoas LGBTQIA+;
 rede de proteção, promoção e defesa para as pessoas LGBTQIA+;
sistema de coleta de dados oficiais sobre as pessoas LGBTQIA+;
regulamentações e normativas legais de garantia de direitos e cidadania.
Ações de prev. ao suicídio 
Trabalhos de educação em sexualidade nas escolas, com a retomada do SPE, que faz parte do PSE (portaria interministerial MeC"
Direitos Humanos e Cidadania,Saúde para pessoas com deficiência,Garantir a Reestruturação do Plano Viver Sem Limite (Plano Nacional dos Direitos das Pessoas com Deficiência),"Garantir a elaboração do novo plano nacional dos direitos das pessoas com deficiências para concretização do acesso aos direitos fundamentais desse segmento no Brasil, nas seguintes areas: saúde, educação, inclusão social e acessibilidade."
Justiça e Segurança Pública,Acesso à justiça,Programa de reformas inclusivas no sistema de justiça,"Instalação da DPU me todas as comarcas federais ou, ao menos, todas em que o MPF também estiver instalado. Instalação de câmeras nos uniformes e viaturas da PF e da PRF. Apoio financeiro e incentivo aos Estados para que façam o mesmo através, por exemplo, de condicionantes nos repasses do FUNPEN."
Direitos Humanos e Cidadania,Políticas de Direitos Humanos,Criação de indh e adesão aos tratados de direitos humanos,"Adaptação do Conselho Nacional de Direitos Humanos para que seja creditado como Instituição Nacional de Direitos Humanos junto à ONU e possa coordenar e exigir políticas em DH, bem como denunciar descumprimentos. Manutenção e ampliação da participação da sociedade civil, conferência de autonomia funcional (externo ao MDH) e garantia de orçamento adequado e regular."
Saúde,Controle da saúde,Insumos mínimos fornecidos pelo SUS para um bom controle de saúde,"Fornecer gratuitamente os insumos mínimos para a manutenção da boa saúde de quem sofre com alguma doença crônica, como o caso do diabetes.

Utilizando como exemplo o diabetes tipo 1, são fornecidos pelo SUS: agulhas, lancetas, insulinas e fitas de teste de glicemia (máximo de 200 unidades/mês). Porém, para o mínimo de um bom controle da doença, são necessárias 8 medições de glicemia ao dia, dando um total MÍNIMO de 240 fitas de teste de glicemia/mês."
 Integração e Desenvolvimento Regional,Construção de rodovia,Construção de Nova Rodovia ,"Entre a CE-060 (Mombaça) e a CE-363 (Senador Pompeu) no Estado do Ceará, a população necessita urgentemente da construção da rodovia que faça a ligação entre os dois municípios de Mombaça e Senador Pompeu. Durante decádas houve a promessa de vários políticos falando em trazer a implementação dessa nova rodovia e até agora não houve nem o início e nem a finalização da construção da nova rodovia. A população exige urgentemente a implementaçao da rodovia intermunicipal no Estado do Ceará."
Direitos Humanos e Cidadania,Tratados internacionais de Direitos Humanos,Adesão aos tratados internacionais de direitos humanos,"Adesão aos tratados e protocolos de DH, a exemplo dos protocolos do PIDESC, PIDC e CDC (publicar decreto para formalizar internalização) e Convenção Interamericana contra Toda Forma de Discriminação e Intolerância. Criação de mecanismo interno de execução das decisões internacionais."
Comunicações,Serviços Públicos Digitais,Rede Social Brasileira e Segura,Criação de rede(s) social(is) nacional(is) e segura(s). É inaceitável o Banco do Brasil considerar o WhatsApp como canal oficial de comunicação.
 Integração e Desenvolvimento Regional,Federalização de Competências Regionais e Locais / Sugestão de Convênios Interfederativos / Reformas Revitalizantes,Criação de Indústrias de Reciclagem e Aproveitamento de Lixo em todos os Estados do Brasil,Há anos o país vêm aumentando a produção de lixo urbano e realizando o descarte de forma irregular em lugares inapropriados como em lixões e aterros sanitários devido a falta de fábricas ou indústrias recicladoras. É urgente a limpeza urbana e a promoção da sustentabilidade em todas as cidades e estados do país. É preciso que o Governo Federal crie políticas públicas e funde alguma indústria ou fábrica responsável para promover o reaproveitamento de matéria sólida e orgânica no país.
Transportes,Mobilidade / Transporte Coletivo / Parceria Público Privada,Passe livre e transporte de qualidade dentro das cidades,"Considerar a mobilidade dos cidadãos de grandes cidades como direito. Os meios de transporte público devem ser em quantidade suficiente e ter qualidade, bem como seus trabalhadores devem ser respeitados. Iniciar processo de desmantelamento do atendimento privado."
Legislativo,Propaganda Oficial / Pesquisa Científica / Reforma Tributária,Fomentar a Pesquisa o Desenvolvimento e a Inovação nas empresas,"Hoje no Brasil, falta incentivos para redução de impostos para as empresas inovadoras que não são do lucro real. Deveriamos ajudar as empresas de Lucro Presumido e pequenas empresas que investem em P&Dit, aqui no Brasil. 

Minha Proposta é criar um incentivo fiscal para as empresas de Lucro Presumido que investem em Pesquisa Desenvolvimento e Inovação. Reduzindo assim sua carga tributária e que ela consiga investir ainda mais em novas tecnologias."
Presidência ,Direitos Sociais / Economia Popular / Empregabilidade,Assistência Social,"Queremos um social justo para o menos favorecido e do mercado informal,em zona de vulnerabilidade...."
Legislativo,Reforma Política / Administração Pública,"Reduzir o salário dos cargos comissionados públicos e dos mandatários públicos; EX: Governadores, Deputados, Senadores e Vereadores","Proposta para uma política real de redução dos custos dos poderes legislativos e dos injustos cargos comissionados públicos, que de muito servem para a perpetuação de uma casta política - coisa que, atualmente, vai ao rumo oposto do princípio da República, disposto no ART 1º da Constituição Federal de 1988. No entanto, não desejo extinguir os cargos comissionados, mas, sim, apenas reduzir os altíssimos salários que eles têm."
Legislativo,Acesso à Justiça / Dados Pessoais / Serviços Públicos Digitais,"Reforma dos cartórios, permitindo integração, centralização e redução de preços","Integração dos dados de car´tórios, que passam a constar todos em um único bancos de dados. Permitir a obtenção de documentos digitais (como certidões de nascimento e casamento) com validadores online, removendo a necessidade da apresentação dos documentos físicos na maioria dos serviços. Centralização dos pedidos de documentos em um único órgão, de modo que possam ser feitos por meio da internet e com preços mais baixos (modelo português)."
Legislativo,Parceria Público Privada / Orçamento Federal / Novos Programas Governamentais / Mobilidade,Carro popular subsidiado pelo governo federal ,Venda de carro popular subsidiado pelo governo federal com taxas acessíveis a população
Educação,Pesquisa Científica / Ampliação de Infraestrutura / Carreiras da Educação,Implementação de novos institutos de pesquisa e apoio/estruturação dos já existentes. Além da abertura de concursos públicos a novos profissionais,"Os institutos de pesquisa são a base dos conhecimentos científicos do país, com o apoio, ampliação e estruturação toda a população será beneficiada em inúmeras áreas como saúde. alimentação, educação entre outras."
Cidades,Carreiras da Educação / Ampliação de Infraestrutura / Proteção do Patrimônio Ambiental / Pesquisa Científica / Parceria Público Privada / Sugestão de Convênios Interfederativos,Incentivo à formação continuada para os Pontos de Cultura e Pontos de Memória,"I – Fortalecimento dos Ecomuseus, Pontos de Cultura e Pontos de Memória com consórcios culturais entre as Regiões Metropolitanas, em parcerias com as Universidades públicas, para dinamizar as específicas dinâmicas do interior;
II – Criação de Bolsas de Pesquisa nos Ecomuseus, Pontos de Cultura e Pontos de Memória, registrados na plataforma Cultura Viva e com orientação das Universidades Públicas, para a seguridade social dos trabalhadores locais;"
Legislativo,Carreiras da Saúde / Universidades / Ensino Fundamental e Médio,Profissionais da Saúde Acessíveis em Locais Acadêmicos ,"O projeto visa atender à necessidade de ter ao menos um profissional da saúde em escolas e/ou faculdades/universidades, assim, evitando riscos para os estudantes e atendendo à suas urgências em momentos de emergência."
 Integração e Desenvolvimento Regional,Abastecimento / Ampliação de Infraestrutura / Economia Popular,Perímetro Irrigado do Moxotó - Ibimirim/PE,"O PIMOX - Perímetro Irrigado do Moxotó e o maior açude público do Estado de Pernambuco agonizam e precisam de ações reestruturantes. O projeto executivo já está pronto e em poder do DNOCS, para implementar a modernização do sistema rumo ao crescimento econômico e social numa região de pouco dinamismo."
Legislativo,Direitos Sociais / Sugestão de Convênios Interfederativos / Novos Programas Governamentais / Dados Pessoais / Atenção Primária / Acesso à Justiça,Direitos Humanos Sistema Nacional ,"Criar o Sistema nacional de Políticas de Direitos Humanos como o  conjunto articulado, orgânico e descentralizado de instrumentos, mecanismos, órgãos e ações que visam à realização dos direitos humanos e que tem por finalidade articular, integrar e orientar as políticas de direitos humanos reconhecidas nacionalmente com ênfase na promoção, defesa e reparação de direitos violados, para segmentos populacionais vulnerabilizados."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Medicamentos / Alimentos / Atenção Primária / Bolsa Família / Benefícios previdenciários / Dados Pessoais / Sugestão de Convênios Interfederativos,Mapeamento da Insegurança Alimentar e Nutricional no Sistema Único de Assistência Social- SUAS,"Identificar áreas de vulnerabilidade social com a aplicação de Triagem de Risco de Insegurança Alimentar pela Rede Socioassistencial, avaliando o real dimensionamento da situação de Insegurança Alimentar e sistematizando as informações territorializadas nos municípios. Essa estratégia permitirá avaliação de impacto dos programas e ações de Segurança Alimentar e fortalecimento das políticas intersetoriais."
" Desenvolvimento, Indústria, Comércio e Serviços",Novos Programas Governamentais / Serviços Públicos Digitais / Alimentos / Agro,"Marketplace de produtos hortifrutigranjeiros, simulando uma feira livre de bairro.","Aplicar o conceito de feira livre no mundo digital, A venda será direta do empreendedor rural para o consumidor final, eliminado os elos da cadeia de valor que são atravessadores.
O empreendedor rural terá sua barraca, acesso direto ao cliente,  informações sobre a comercialização e preços em tempo real, alternativas de entrega das compras e melhores preços de venda.
De outro lado, o comprador terá acesso a um número maior de vendedores, oferta de produtos mais frescos, acesso direto ao produtor"
Legislativo,Universidades / Ensino Superior / Métodos de Ensino,"Ensino de História e Cultura Afro-brasileira, Africana e Indígena nas Escolas e Estruturação Escolar Quilombola","Implementação efetiva das Diretrizes Curriculares do Ensino de História e Cultura Afro-brasileira, Africana e Indígena nas escolas, promovendo uma formação antirracista na Educação Básica, bem como a estruturação escolar nos quilombos e a garantia de acesso e permanência dos quilombolas nas faculdades e universidades.
Continuidade e ampliação das políticas afirmativas de cotas nas instituições de ensino, com a devida fiscalização dos processos seletivos, critérios equitativos  e bolsistas."
Legislativo,Orçamento Federal,Fim do teto de gastos,"Não é possível falar em investimento público sem a revogação da PEC da morte, que impossibilita qualquer tentativa de criar um ""estado de bem-estar social"" no Brasil, cujo parco setor público de educação, saúde e infraestrutura sofre uma precarização há mais de 30 anos."
Fazenda,Novos Programas Governamentais / Política Monetária / Sugestão de Convênios Interfederativos,Bancos Comunitários de Desenvolvimento Local,"A proposta seria a criação de um Banco Comunitário de Desenvolvimento Local em municípios com até 50.000 habitantes com foco na oferta de crédito subsidiado para pequenos negócios formais  e informais. O banco atuaria tambem com a criação de uma Moeda Social que seria responsável por transações comerciais dentro do município fomentando o desenvolvimento local e inclusão financeira da população de baixa renda, permitindo assim a inclusão financeira e social e fomento ao comércio local"
" Desenvolvimento, Indústria, Comércio e Serviços",Pesquisa Científica / Tratados e Padrões Internacionais,Fortalecimento da infraestrutura da qualidade nacional,"Capacitar o pessoal que atua na área, criar incentivos para empresas investirem em certificação e adequação às normas técnicas, desenvolver políticas públicas de apoio à inovação e ampliar a disseminação de informações sobre a importância da qualidade para a competitividade, a segurança do consumidor e o desenvolvimento sustentável. Além disso, é fundamental fortalecer o papel do Inmetro e da RBMLQ-I, ampliando sua atuação em áreas estratégicas e investindo na modernização de sua infraestrutura."
Minas e Energia,Fontes aternativas de energia,Pesquisa de Energia Nuclear oriunda do T´ório,"Usinas nucleares de tório podem utilizar os resíduos radioativos das usinas de urânio como combustível para gerar energia. Uma alternativa para lidar com o lixo radioativo produzido nas usinas de Angra, além de complementar a matriz energética. Os reatores nucleares de tório têm vantagens que os tornam econômicos e sustentáveis, produzem menos energia em relação aos de urânio, mas têm sua estrutura mais facilitada e não precisam de um sistema sofisticado de água para fazer seu resfriamento."
Legislativo,Reciclagem,Atenção prioritária Coleta Seletiva,"""Segundo determina a Lei nº 12.305, de 2 de agosto de 2010, que institui a Política Nacional de Resíduos Sólidos, o sistema de coleta seletiva deve ser implantado pelo titular do serviço público de limpeza urbana e manejo de resíduos sólidos"".
Reformar a Lei de Resíduos Sólidos para priorizar a implantação da coleta seletiva, dando dignidade ao trabalho dos catadores de materiais recicláveis, com vistas à sustentabilidade."
Saúde,Sistema Único de Saúde (SUS),Conselhos de unidade de saúde - Controle Social no SUS,Implantar conselho de unidade de saúde em todos os serviços de atendimento a população;
Saúde,1) Planejamento familiar / 2) Reforma tributária,Controle de Natalidade,"1) Prezados(as), sugiro se tornar obrigatório cada ente populacional ter na média um filho por pessoa, isto é, cada casal gerar no máximo 2 filhos, principalmente se for de baixa renda.
Quanto mais gente, maior poluição, maior devastação da natureza, maior violência, maior fome, maior trânsito, maior necessidade de infraestrutura, etc.

2) Imposto de renda progressivo podendo chegar a 95% no intuito de evitar grandes acúmulos de somas minimizando os efeitos nocivos do capitalismo selvagem."
Saúde,Ampliação do acesso,Dentista 24h para sorrir ,Dentista no meu bairro são poucos por isso ampliar os dentistas com mais postos dentários em meu bairro seria muito útil.
Educação,Universidades,Educaçã alicerce da vida,Criar universidades e instituições de cursos técnicos em todas as áreas descobertas pelo estado e a federação.
Saúde,Ampliação do acesso,Psicólogo e neuro no meu bairro ,Temos muitas crianças que por motivo financeiro deixam de sair de seu bairro para consultar um médico. Trazer psicólogos e neuro para o bairro de Camela distrito de Ipojuca-PE iria ajudar muitas crianças autistas e com outros transtornos a se consultar com esses profissionais.
 Integração e Desenvolvimento Regional,Reestruturação,Reestruturação do Dnocs,"Nos últimos quatro anos, o governo federal desaparelhou muitos órgãos federais, Com o DNOCS não foi diferente, aliás, foi um sucateamento total, deixando milhares de famílias em total abandono, a exemplo dos colonos do Perímetro Irrigado de São Gonçalo, município de Sousa-PB, que tem à disposição as águas da transposição do S. Francisco, mas falta apoio para o cultivo das plantações, inclusive no tocante a modernização do sistema de irrigação, visando maior economia do uso da água."
"Ciência, Tecnologia e Inovação",Tecnologia,Carro 100% brasileiro ,"O brasil tem capacidade de produzi seu próprio carro 100% nacional, somos consumidores em potencial, podemos gera uma marca competitiva.  

 A criação de uma moeda Mercosul.   

 Investimentos nos pontos turísticos. obs. tem a orla da cidade de lauro de Freitas, Praia de Ipitanga para ser más exato, construíram alguns villagem na beira da areia, isso impede que seja feita uma ciclovia na orla, que liga a capital Salvador a Lauro de Freitas, deixando de geras emprego e de impacta as duas cidades."
" Desenvolvimento, Indústria, Comércio e Serviços",Alimentos,Indústria e comércio ,"Trazer uma ou mais indústria de alimento tipo salsichas, mortadela, presunto ou indústria de abate de frangos para promoção de emprego e cidadania. Hoje Camela do distrito de Ipojuca-PE precisa de mais emprego para um futuro mais promissor."
Comunicações,Fiscalização,Mídia sociais com análise de veracidade de dados,"Solicitar que toda rede social tenha uma inteligência artificial que deve rever e aconselhar sobre a informação colocado para auxiliar o leitor sobre a veracidade ou se é a opinião pessoal do publicador. Exemplo desse tipo de tecnologia já vemos no Twitter.

Responsabilizar plataforma de conversa sobre qualquer tipo de má conduto de seus usuários em crimes legais como homicida, ataques, pedófilos, abuso, extorsão e entre outros."
Comunicações,Consulta Popular,Realização de plebiscitos em medidas que interfiram diretamente na população.,"Os plebiscitos são importantes para a democracia, uma vez que permite com que a população decida o que é melhor para ela.
Medidas como o Novo Ensino Médio, a qual não teve apoio da massa (os estudantes e professores), não podem ser executadas dessa forma. Os plebiscitos permitem medidas diretas da população, críticas e mudanças em leis já vigentes no país.
Sem esquecer o papel do Congresso Nacional, obviamente, referendos também podem ser convocados.
Essa medida reforça a democracia direta."
" Desenvolvimento, Indústria, Comércio e Serviços",Agro,"Desapropriação de terras que não cumprem a sua função social a fim de reforma agrária, habitação e desenvolvimento estatal.","Hectares e mais hectares são deixados de lado pelos donos de propriedades privadas. Isso não permite com que aquela terra sem função abasteça as casas brasileiras com o que produz.
O poder público deve ficar atendo às propriedades de terra que não cumprem com a sua função social, para desapropriar a fim de fazer habitações e reforma agrária.
O desenvolvimento também deve ter foco nessas terras. Indústrias sustentáveis e do setor alimentício podem se integrar com a habitação do governo no local."
Cultura,"Lazer, Cultura e Esporte",Retomar a Política dos Espaços Mais Cultura nos moldes das Praças dos Esportes e da Cultura.,"Os Espaços Mais Cultura são equipamentos de Cultura compostos de biblioteca, telecentro, auditório, cine teatro e espaços para ensaios, realização de oficinas e exposições de arte e cultura. Devem ser priorizadas a construção desses espaços em cidades com até 100 mil habitantes e nas periferias dos centros urbanos."
 Integração e Desenvolvimento Regional,Ampliação de Infraestrutura,Integração ferroviária ,"Interligar as principais cidades do Brasil com tecnologia do trem - bala. As dimensões continentais do nosso pais cria muitas barreiras para a troca de cultura, ideias e conhecimento. O brasileiro é plural em varios aspectos, somar e multiplicar toda essa diversidade pode criar incontáveis riqueza. O trem bala é a chave para uma revolução interna. Integração refional, turismo, cultura, transporte, mobilidade urbana, trabalho, ciencia e tecnologia. Um projeto multitemal que a China pode ajudar."
Cultura,"Lazer, Cultura e Esporte",Resgate Regional da Quadrilha Junina na Bahia ,"Trabalho com os jovens e crianças com Quadrilha Junina com apoio do Mestre Raimundo, com parceria boa, contudo, estamos parados há 4 anos por falta de verba para ornamentação, viagens, lanches, roupas, estadia, e um auxilio de insentivo para cada um resgatar essa cultura. Sou Indígena, Aldeada, 46 anos, voltei a estudar na Universidade Federal do Sul da Bahia-UFSB depois de 24 anos. Nos ajudem resgatar a alegria do São João aqui na Bahia."
 Integração e Desenvolvimento Regional,Ampliação de Infraestrutura,Transnordestina,A conclusão da Transnordestina com a inclusão do ramal Salgueiro-SUAPE. O desenvolvimento passa por boas condições de infraestrutura. E Pernambuco anseia por mais oportunidades de emprego.
Controladoria-Geral da União (CGU),Fiscalização,Comprovante de votação em todas as eleições,"Justificativa de Voto: documento impresso e obtido no ato da votação ou seja o termo de justificativa eleitoral, não sendo possível leva-lo embora mas para ser depositado em urna própria no mesmo ato da impressão após conferencia física/visual."
"Ciência, Tecnologia e Inovação",Empregabilidade ,Valorização da Carreira Científica,"Formalização da profissão de cientista em nosso país, garantindo todos os direitos trabalhistas e previdenciários a esta categoria, e planos de cargos e carreiras, para que possam se dedicar exclusivamente a investigação e produção científica sem a necessária vinculação ao cargo de professor em Universidades, a fim de que tanto a atividade docente de Professores exclusivos como a atividade científica de Pesquisadores exclusivos seja desempenhada com qualidade e dedicação"
Legislativo,Reforma Política,Transferência nas eleições - voto impresso,"Votação eletrônica com impressão dos votos como é feito no Paraguai trás segurança para os eleitores e pacificação para a população, sem contestação e permitindo ao governo eleito fazer um trabalho com mais tranquilidade."
Agricultura e Pecuária,Agro,Ampliar as politicas habitacionais para o homem do campo ,Ampliar os recursos e as politicas publicas para o homem do campo.
Transportes,Mobilidade / Novos Programas Governamentais / Previdência Social,Criar o Uber do governo federal,"Criar plataforma do tipo Uber (aplicativo de motorista) para que o cidadão motorista, ao invés de pagar o dinheiro para multinacional americana, terá o lucro convertido em direitos previdenciários e trabalhistas como aposentadoria e inss"
Desenvolvimento Agrário e Agricultura Familiar,Preservação do Patrimônio Ambiental / Reforma Agrária / Fiscalização,Produção alimentar agroflorestal junto a reforma agrária ,"Desenvolvimento de Sistemas Agroflorestais em assentamentos de reforma agraria. 
Produção de alimento por meio da policultura (várias culturas agricolas em um sistema unificado com árvores nativas).
Seguindo princípios da Agricultura Sintrópica, fortalecendo a agricultura familiar, diminuido uso de agrotóxicos, garantibdo trabalho e alimentação para todos."
Esporte,Métodos de Ensino / Lazer,Atividade física para todos,"Fortalecer saberes, atitudes e competências necessárias para escolher a atividade física como elemento significativo dos modos de viver individualmente e em sociedade."
Educação,Fundos Públicos / Sugestão de Convênios Interfederativos,Aumento de Verba dos Auxílios Estudantis para Estudantes dos Institutos Federais,"O auxílio assegurará a participação e permanência dos estudantes na instituição, garantindo o ensino público e de qualidade. Também, incentivando a participação em Projetos de Ensino, Pesquisa e Extensão.
Deve-se destinar uma maior porcentagem de verba para auxílios, assim, atendendo todos os(as) estudantes."
Saúde,Ampliação de Infraestrutura,Implantação e/implementação dos centros de referência em doenças  raras ,"Implantação e/ou implementação dos centros de referência em doenças raras garantindo acesso a equipe multiprofissional, assistência e cuidados especializados com equipe capacitada, acesso a exames de média e alta complexidade e a tratamentos e medicações de alto custo gratuitamente pelo SUS."
Cidades,Minha Casa Minha Vida / Revisão de Metodologias,Implementar um empreendimento do Minha Casa Minha Vida na Orla Norte ,"Implementar um empreendimento do Minha Casa Minha Vida na Orla Norte, e garantindo a isenção do valor de entrada para o financiamento por meio da renda do Cadastro Único."
Trabalho e Emprego,Reforma Trabalhista,Redução da Jornada de Trabalho ,Reduzir a jornada diária de trabalho de 8 para 6 horas em troca da redução em 10% da contribuição patronal obrigatória.
Previdência Social,Previdência Social,"Direito Previdenciário Especial para Quilombolas, indígenas e povos originários ","Garantia de Aposentadoria previdenciária especial para os povos originários, tradicionais, quilombolas e indígenas, nos formatos da aposentadoria rural e da pesca. Com idade de 55 anos para as mulheres e 60 anos para os homens."
 Gestão e da Inovação em Serviços Públicos,Servidores Públicos,Cargos públicos ,"Está proibido de concorrer a cargos públicos,todo aquele que tem escândalo,provas irrefutáveis de corrupção."
 Integração e Desenvolvimento Regional,Ampliação de Infraestrutura,Ferrovias e trens,"Dos recursos necessários para a reindustrialização de um país, ferrovias mostraram ser imprescindíveis em países que tiveram salto desenvolvimentista rápido e gigantesco como China. Além de melhorar o tráfego de transporte, o deslocamento ocorre rapidamente e os alimentos são barateados."
Transportes,Parceria Publico Privada,Fazer PPP com Autoescolas na Promoção do CNH Social,"Fazer parcerias com as autoescolas e conceder isenções fiscais para a oferta de CNH Social para os beneficiários de programas sociais, utilizando o Cadastro Único vinculado ao CNIS para a garantia da gratuidade da licença para as categorias A,B,C e D."
Meio Ambiente e Mudança do Clima,Fiscalização / Carreiras Policiais / Preservação do Patrimônio Ambiental,Expansão da Fiscalização Ambiental nas áreas costeiras e marinhas,"Nossa área marinha é maior que o território do Estado do Amazonas, porém a estrutura de fiscalização marinha ainda é extremamente escassa por toda a costa brasileira, com a Polícia Militar Ambiental, IBAMA, ICMBio, Guarda Ambiental, Marinha e outros órgãos fiscalizadores totalmente desestruturados para realizar treinamentos adequados e fiscalizações eficazes e rotineiras de combate ao IUU (pesca ilegal, não reportada e não documentada) pelas águas soberanas brasileiras."
Cultura,Lazer,Inclusão de assinatura de jornais no Vale-Cultura,"Além de comprar ingressos de teatro, cinema, museus, espetáculos, shows e circos, bem como CDs, DVDs, livros e revistas, instrumentos musicais ou, então, pagar cursos relacionados a arte e cultura, o beneficiário do Vale-Cultura pode assinar televisão a cabo. No entanto, não pode assinar jornais impressos ou digitais. Sugiro que veículos jornalísticos sejam incluídos no programa."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Métodos de Ensino / Revisão de Metodologias / Bolsa Família,Inclusão de Condicionalidades do Bolsa Família ,"Gostaria muito que nas condicionalidades do bolsa família fosse incluído a média escolar, não só a presença, assim forçariamos um pouco mais as crianças a estudar e não só irem a escola"
Esporte,Lazer / Ampliação de Infraestrutura,Envelhecimento Ativo,"O projeto visa é manter ativo aposentados da categoria bancária e afins em exercícios de mobilidade, equilíbrio e tonicidade. Com professor de educação física. As  atividade seriam de caminhadas, corridas, circuito e alongamentos. Duas vezes por semana, ao ar livre, em locais variados, parques e praças das cidades do Rio Grande do Sul. 
Tendo o objetivo de agregar  pessoas que tenham interesse em participar da atividade."
Cultura,Novos Programas Governamentais / Lazer,Criar Fundo Setorial do Patrimônio Cultural ,"Instituir e alocar, ao menos, R$ 1 bilhão de reais, por ano, no Fundo Setorial do Patrimônio Cultural, com o intuito de apoiar projetos de restauro, preservação, salvaguarda, proteção e promoção dos patrimônios material, imaterial brasileiro."
Cultura,Reformas Revitalizantes / Militares,Apoio as Bandas e Fanfarras,"Destinar parte da Lei rouanet para aquisição de instrumentos, fardamentos e construção de sedes de ensaios para as Bandas Filarmônica, Marcial, Fanfarras shows. Pois é um dos maiores movimentos sociais poucos valorizados em todo Brasil."
Comunicações,Militares / Propaganda Oficial,Redes Sociais Voluntários ,"Criação de uma Secretaria Nacional de Comunicação em Redes Sociais, com objetivo de abastecer militantes ativos e simpatizantes com propostas e ações implementadas pelo Governo Federal 
BRASIL UNIÃO e RECONSTRUÇÃO 🙂🇧🇷🚩, onde às informações cheguem de maneira rápida e organizada."
Educação,Revisão de Metodologias / Métodos de Ensino,Tutoria na Educação Básica,"Programa de abrangência nacional em que coordenadores, professores multi-setoriais e graduandos das áreas de pedagogia estivessem em contato contínuo com alunos da educação básica, monitorando seu desenvolvimento social e cognitivo.

O programa seria coordenado pelo MEC e operacionalizado por universidades públicas mediante convênio com Estados, Municípios e Distrito Federal.. A ideia é criar, alimentar e monitorar um banco de dados com o progresso de todos os alunos da educação básica do País."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Reforma Agrária / Terras da União,Programa Habitar Legal de Regularização Fundiária,"A região norte do Brasil, em especial o estado de Rondônia, apresenta uma realidadepreocupante no que diz respeito à situação fundiária. Dados do (INCRA) apontam que grande parte dos imóveis rurais na região não possuem documentação regularizada, o que representa um grande obstáculo para o desenvolvimento econômico e social da região. Além disso, a ausência de regularização fundiária contribui para o aumento de conflitos e para a degradação ambiental."
Educação,Servidores Públicos,Dedicação exclusiva para professores da Educação básica municipal e estadual,"Criação de lei que regularize e padronize a carga horária dos professores das redes públicas municipais e estaduais para 40 horas, com dedicação exclusiva e respeito ao plano de cargos e carreiras, tal como já ocorre na rede federal."
Educação,Previdência Social,FGTS para Universitários,"Que os Universitários beneficiados com vagas através de programas como o FIes, fornecidas pelo Enem é que possuem contas de FGTS, possam utilizar saldo destas contas pagamento de mensalidades destes benefícios."
Defesa,Militares / Carreiras Policiais / Terras da União,Defesa da fronteira amazônica e pantaneira ,"Transferir quartéis das Forças Armadas, localizados no leste brasileiro, para a fronteira amazônica e pantaneira, deixando no leste brasileiro apenas os estritamente essenciais.  Não há razão econômica, nem estratégica, para a grande maioria dos quartéis estarem no litoral, a exemplo do RJ."
Justiça e Segurança Pública,Carreiras Policiais,Policia municipal unificada em seus municípios,Equipada e estruturada pelo estado administrada pelo município não precisamos de várias polícias e sim de uma que resolva e mantenha a ordem pública e falem a mesma língua se objetivo é o mesmo
Educação,Universidades / Revisão de Metodologias,"Aumento do tempo máximo para se formar em universidade pública, a crise de estudantes que se atrasaram em decorrência da pandemia de COVID19","Em decorrência da pandemia de COVID19 vimos muitos alunos e estudantes com dificuldade financeira e psicológica para se manter em suas graduações, por conta dessas ocorrências muitos trancaram ou se atrasaram(reprovando e suprimindo cadeiras), muitos estão próximos do limite máximo de permanência na graduação em Uni. Publi e ao mesmo tempo longe de finalizar a carga horária para se formar tornando possível o jubilamento de vários alunos que enfrentaram a pandemia."
